time,open,high,low,close,Volume
1498597200,1.13392,1.13905,1.12916,1.13778,NaN
1498683600,1.13773,1.14456,1.13746,1.14406,NaN
1498770000,1.1441,1.14454,1.13923,1.14266,NaN
1499025600,1.14204,1.14272,1.13553,1.13644,NaN
1499115600,1.13644,1.13772,1.13363,1.13461,NaN
1499202000,1.13464,1.13687,1.13124,1.13523,NaN
1499288400,1.13526,1.1425,1.133,1.14224,NaN
1499374800,1.14233,1.14401,1.13798,1.14001,NaN
1499630400,1.13965,1.14181,1.13818,1.13994,NaN
1499720400,1.13994,1.14799,1.13829,1.14679,NaN
1499806800,1.14668,1.14896,1.13918,1.1412,NaN
1499893200,1.14118,1.14561,1.13704,1.1398,NaN
1499979600,1.13981,1.14721,1.13917,1.14692,NaN
1500235200,1.1472,1.14871,1.14349,1.14782,NaN
1500325200,1.14785,1.15832,1.14717,1.15542,NaN
1500411600,1.15544,1.15572,1.151,1.1515,NaN
1500498000,1.15151,1.16583,1.14795,1.16308,NaN
1500584400,1.16308,1.1683,1.16192,1.16618,NaN
1500840000,1.16651,1.16845,1.16258,1.16428,NaN
1500930000,1.16426,1.17122,1.1631,1.16471,NaN
1501016400,1.16471,1.17401,1.16127,1.17345,NaN
1501102800,1.17343,1.17768,1.16501,1.16766,NaN
1501189200,1.16766,1.17643,1.16713,1.17503,NaN
1501444800,1.17474,1.18458,1.17233,1.18419,NaN
1501534800,1.1842,1.18445,1.17854,1.18016,NaN
1501621200,1.18016,1.19102,1.17939,1.1856,NaN
1501707600,1.1856,1.18933,1.18307,1.18698,NaN
1501794000,1.18698,1.18894,1.17286,1.17738,NaN
1502049600,1.1773,1.18142,1.17717,1.17954,NaN
1502139600,1.17958,1.18241,1.17154,1.17526,NaN
1502226000,1.17526,1.17641,1.16891,1.17591,NaN
1502312400,1.17591,1.17851,1.17043,1.17723,NaN
1502398800,1.17723,1.18472,1.17487,1.18212,NaN
1502654400,1.18212,1.18384,1.17701,1.17799,NaN
1502744400,1.17797,1.1793,1.16873,1.17352,NaN
1502830800,1.17352,1.17788,1.16818,1.17672,NaN
1502917200,1.17672,1.17901,1.16623,1.1723,NaN
1503003600,1.1723,1.17745,1.17084,1.176,NaN
1503259200,1.17615,1.18282,1.17313,1.18151,NaN
1503349200,1.1815,1.18245,1.17453,1.1762,NaN
1503435600,1.1762,1.18234,1.17404,1.18073,NaN
1503522000,1.18071,1.1818,1.17843,1.17993,NaN
1503608400,1.17991,1.19415,1.17734,1.19257,NaN
1503864000,1.19515,1.19838,1.19169,1.19789,NaN
1503954000,1.19788,1.20704,1.19467,1.19724,NaN
1504040400,1.19724,1.19845,1.18807,1.18837,NaN
1504126800,1.18837,1.19126,1.18231,1.191,NaN
1504213200,1.19097,1.19798,1.18503,1.18591,NaN
1504468800,1.18628,1.19222,1.18628,1.18961,NaN
1504558800,1.18961,1.19409,1.18685,1.19141,NaN
1504645200,1.19141,1.19504,1.19029,1.1917,NaN
1504731600,1.1917,1.20593,1.19143,1.20228,NaN
1504818000,1.20235,1.20926,1.20149,1.20359,NaN
1505073600,1.203,1.203,1.1948,1.19527,NaN
